"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,5,105127458,16.1,1,9362418
2018,16,105127591,1,9,9364386
2018,5,105156708,9.2,1,9369120
2018,1,105137460,1,11,9363433
2018,5,105156904,1,1,9375091
2018,5,105156924,3.4,1,9375092
2018,12,105133312,1,3,9363012
2018,17,105140815,1,3,9363513
2018,5,105134677,0.01,3,9364946
2018,12,105133478,1,11,9364947
2018,5,105134897,1,11,9364989
2018,5,105134799,0.5,1,9364971
2018,12,105161361,1,1,9367771
2018,5,105156946,8.2,1,9367530
2018,12,105160320,0.6,1,9375105
2018,5,105160744,1,3,9367604
2018,5,105138851,3,1,9363122
2018,5,105135742,2,1,9365075
2018,8,105139337,4,9,9363152
2018,5,105139337,1.69,1,9363151
2018,5,105136145,17.7,1,9363187
2018,5,105136305,17,1,9365142
2018,12,105136353,1,1,9363228
2018,5,105136364,1,3,9365153
2018,5,105136375,14.9,1,9365156
2018,5,105136413,1,3,9365172
2018,5,105136444,1,1,9365179
2018,5,105139849,1,3,9365188
2018,12,105136488,1,1,9365190
2018,12,105160842,1,1,9367635
2018,12,105157532,1,1,9375215
2018,5,105160858,1,3,9367643
2018,5,105157546,1,3,9367644
2018,5,105157569,1,3,9367654
2018,12,105157594,1,1,9375238
2018,5,105137616,1,11,9363479
2018,12,105140730,1,11,9365489
2018,5,105137652,1,11,9365499
2018,5,105137981,1,11,9365568
2018,12,105138061,0.001,1,9363581
2018,12,105141344,0.8,1,9363640
2018,5,105157611,7.5,1,9375241
2018,5,105157640,1,3,9375262
2018,5,105161175,0.01,1,9367732
2018,5,105161276,0.5,3,9367753
2018,12,105161549,1.2,1,9367812
2018,5,105161297,1,1,9367761
2018,12,105161407,5.7,1,9367784
2018,12,105158044,1,11,9375374
2018,5,105158068,1,11,9375380
2018,12,105158068,0.9,1,9375381
2018,12,105158088,1,1,9375387
2018,5,105161593,1,1,9369134
2018,5,105161646,1,1,9367852
2018,5,105158226,1,1,9375439
2018,16,105161707,1,1,9367861
2018,5,105161853,,,9367891
2018,12,105158530,0.1,1,9375506
2018,3,105162063,1,1,9367942
2018,5,105162069,2,1,9367944
2018,12,105163616,0.5,1,9367966
2018,12,105163616,20,9,9375526
2018,5,105163890,2,3,9375595
2018,1,105162169,1,11,9367974
2018,5,105163783,3,1,9375560
2018,12,105163821,0.9,1,9375573
2018,5,105163837,1,3,9375579
2018,5,105162348,1,11,9375591
2018,5,105162372,1,3,9368021
2018,5,105169783,1,1,9368436
2018,13,105169487,1,1,9375947
