"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,30167369,101506962,2,13-AUG-18,2,"N",35,5,17,"M",1,1,"R","R","",17,0
2018,30162440,101501865,1,23-AUG-18,1,"M",23,5,26,"M",1,2,"R","","",26,0
2018,30172436,101501895,2,03-SEP-18,1,"N",16,5,27,"M",1,1,"R","","",27,0
2018,30172434,101501895,1,03-SEP-18,1,"N",16,5,28,"F",1,1,"R","","",28,0
2018,30172459,101512084,1,11-SEP-18,3,"M",27,5,31,"M",1,1,"U","","",31,0
2018,30172460,101512084,2,11-SEP-18,1,"N",48,5,30,"F",1,1,"R","","",30,0
2018,30172481,101501965,1,26-SEP-18,1,"C",45,5,27,"M",1,1,"R","","",27,0
2018,30162489,101512140,1,25-SEP-18,2,"N",51,5,13,"M",1,2,"R","H","",13,0
2018,30172499,101507227,1,10-SEP-18,3,"N",16,5,34,"F",1,3,"R","","",34,0
2018,30162505,101502006,1,25-SEP-18,1,"N",53,5,45,"M",1,2,"R","","",45,0
2018,30167457,101507268,1,11-AUG-18,2,"N",16,5,44,"M",1,2,"R","","",44,0
2018,30162517,101507268,2,11-AUG-18,2,"N",16,5,61,"M",1,2,"R","","",61,0
2018,30167462,101507274,1,11-AUG-18,1,"N",16,5,66,"M",1,2,"R","","",66,0
2018,30162524,101502053,1,01-SEP-18,3,"N",51,5,61,"M",1,2,"R","","",61,0
2018,30172581,101507417,1,19-SEP-18,3,"N",10,5,27,"M",2,2,"R","","",27,0
2018,30172587,101512300,1,26-SEP-18,3,"N",35,5,26,"M",1,1,"R","","",26,0
2018,30162566,101512315,1,17-JUL-18,3,"N",44,5,31,"M",1,2,"N","","",31,0
2018,30162571,101502169,1,09-JUL-18,2,"N",5,5,29,"M",1,2,"R","","",29,0
2018,30172634,101512406,3,25-AUG-18,2,"N",16,5,33,"M",1,2,"","","",33,0
2018,30167554,101502261,1,03-AUG-18,1,"N",34,5,53,"M",1,2,"R","","",53,0
2018,30172660,101507595,1,11-JUL-18,2,"N",35,5,43,"F",1,2,"N","","",43,0
2018,30172667,101502293,1,01-SEP-18,1,"N",48,5,51,"F",1,2,"N","","",51,0
2018,30172690,101507652,1,14-AUG-18,2,"N",28,5,17,"M",2,2,"R","R","",17,0
2018,30167597,101512508,1,24-SEP-18,3,"C",11,5,28,"F",1,,"U","","",28,0
2018,30162665,101502361,1,03-AUG-18,2,"N",16,5,30,"F",1,2,"R","","",30,0
2018,30167626,101502396,1,19-JUL-18,3,"N",27,5,40,"M",1,2,"R","","",40,0
2018,30172744,101502425,1,31-JUL-18,1,"N",23,5,15,"M",1,2,"N","R","",15,0
2018,30172757,101512626,1,30-AUG-18,2,"N",23,5,15,"F",1,2,"N","R","",15,0
2018,30167686,101512667,1,06-AUG-18,3,"N",16,5,21,"F",3,3,"R","","",21,0
2018,30167687,101512667,3,06-AUG-18,3,"N",16,5,43,"F",3,2,"R","","",43,0
2018,30167694,101502534,1,22-AUG-18,1,"N",5,5,24,"M",1,2,"R","","",24,0
2018,30172811,101502558,1,16-FEB-18,1,"N",16,5,39,"M",1,2,"R","","",39,0
2018,30172829,101507941,2,20-AUG-18,1,"N",51,5,17,"M",1,2,"N","R","",17,0
2018,30162746,101502631,1,01-SEP-18,2,"N",45,5,25,"F",1,2,"N","","",25,0
2018,30162752,101507988,1,14-SEP-18,1,"N",23,5,24,"F",1,2,"N","","",24,0
2018,30167766,101512806,1,05-AUG-18,3,"N",51,5,25,"M",1,2,"R","","",25,0
2018,30172872,101502712,1,18-AUG-18,2,"N",35,5,36,"F",1,2,"N","","",36,0
2018,30172336,101511894,1,27-SEP-18,2,"N",51,5,20,"M",1,2,"R","","",20,0
2018,30172339,101511895,1,21-SEP-18,2,"N",56,5,38,"M",1,2,"R","","",38,0
2018,30172344,101501758,1,21-SEP-18,2,"N",51,5,42,"M",1,2,"R","","",42,0
2018,30162439,101507021,1,23-AUG-18,3,"N",16,5,64,"M",1,1,"U","","",64,0
2018,30167391,101507028,1,24-AUG-18,3,"N",45,5,60,"M",1,1,"U","","",60,0
2018,30162443,101512023,2,28-AUG-18,2,"N",16,5,15,"F",1,1,"R","H","",15,0
2018,30167395,101512023,3,28-AUG-18,2,"N",16,5,15,"F",1,1,"R","H","",15,0
2018,30162442,101512023,1,28-AUG-18,2,"N",16,5,15,"F",1,2,"R","H","",15,0
2018,30172443,101501908,1,06-SEP-18,1,"N",16,5,48,"M",1,2,"U","","",48,0
2018,30172454,101501917,1,16-SEP-18,1,"C",23,5,30,"M",2,2,"U","","",30,0
2018,30172485,101512144,1,25-SEP-18,2,"N",16,5,18,"F",1,1,"N","","",18,0
2018,30162513,101507259,1,31-AUG-18,2,"N",35,5,18,"M",1,2,"R","","",18,0
2018,30167463,101507286,1,20-AUG-18,1,"N",53,5,16,"M",1,1,"N","H","",16,0
2018,30167464,101502043,1,24-AUG-18,1,"N",51,5,21,"F",1,2,"N","","",21,0
2018,30167483,101502107,1,02-AUG-18,2,"N",35,5,16,"F",1,1,"R","H","",16,0
2018,30172592,101512317,1,05-JUL-18,1,"N",16,5,36,"F",1,2,"N","","",36,0
2018,30167541,101512399,1,19-AUG-18,2,"N",23,5,18,"M",1,2,"","","",18,0
2018,30167930,101513013,2,15-SEP-18,2,"N",16,5,20,"M",2,2,"N","","",20,0
2018,30167929,101513013,1,15-SEP-18,2,"N",16,5,20,"M",2,2,"N","","",20,0
2018,29681913,100232412,1,09-JUL-18,2,"N",16,5,25,"M",1,2,"N","","",25,0
2018,29657929,100205798,1,20-JAN-18,2,"N",35,5,20,"M",1,2,"N","","",20,0
2018,29657880,100201282,1,19-FEB-18,3,"N",51,5,50,"M",1,2,"R","","",50,0
2018,29661693,100201353,2,20-JAN-18,3,"N",16,5,28,"F",1,2,"R","","",28,0
2018,29661705,100201381,1,05-FEB-18,2,"N",16,5,25,"M",1,1,"R","","",25,0
2018,29661691,100201353,1,20-JAN-18,3,"N",16,5,44,"M",1,2,"R","","",44,0
2018,29657958,100201418,1,05-FEB-18,2,"N",23,5,24,"F",1,2,"","","",24,0
2018,29661721,100201418,2,05-FEB-18,2,"N",23,5,45,"M",1,2,"","","",45,0
2018,29661732,100201454,1,04-FEB-18,2,"N",35,5,27,"M",1,2,"R","","",27,0
2018,29661736,100201458,1,15-FEB-18,3,"N",14,5,21,"F",1,2,"R","","",21,0
2018,29657972,100201458,2,15-FEB-18,3,"N",14,5,32,"M",1,1,"R","","",32,0
2018,29661744,100201473,1,26-FEB-18,1,"N",29,5,42,"M",1,2,"R","","",42,0
2018,29657979,100201473,2,26-FEB-18,1,"N",35,5,50,"F",1,1,"R","","",50,0
2018,29661752,100201486,1,10-FEB-18,3,"N",16,5,35,"M",1,2,"U","","",35,0
2018,29658000,100201507,2,02-FEB-18,2,"N",16,5,38,"F",1,2,"N","","",38,0
2018,29661759,100201507,1,02-FEB-18,2,"N",16,5,39,"M",1,2,"N","","",39,0
2018,29661797,100201573,1,09-FEB-18,1,"N",51,5,58,"M",1,2,"R","","",58,0
2018,29658066,100201677,1,03-APR-18,1,"N",16,5,20,"M",1,1,"N","","",20,0
2018,29658176,100206481,1,06-JAN-18,3,"N",28,5,42,"M",1,2,"R","","",42,0
2018,29681984,100234473,2,05-FEB-18,1,"N",51,5,24,"F",1,2,"R","","",24,0
2018,29661941,100206481,2,06-JAN-18,3,"N",28,5,34,"F",1,1,"R","","",34,0
2018,29658205,100206522,1,03-MAR-18,3,"N",11,5,31,"M",3,2,"U","","",31,0
2018,29686279,100234516,1,25-FEB-18,2,"N",5,5,21,"M",1,2,"R","","",21,0
2018,29658224,100206602,1,22-MAR-18,3,"M",45,5,18,"M",1,2,"U","","",18,0
2018,29662042,100206602,2,22-MAR-18,3,"M",45,5,18,"M",1,2,"R","","",18,0
2018,29658228,100202005,1,26-MAR-18,2,"M",5,5,27,"M",1,2,"R","","",27,0
2018,29681983,100234473,1,05-FEB-18,1,"N",51,5,29,"M",1,2,"R","","",29,0
2018,29662088,100202123,1,22-APR-18,2,"N",16,5,29,"F",1,1,"N","","",29,0
2018,29658550,100207160,1,18-MAR-18,1,"N",44,5,20,"M",1,2,"R","","",20,0
2018,29658444,100206969,1,08-MAR-18,2,"N",23,5,17,"M",1,1,"R","R","",17,0
2018,29662410,100207116,1,13-MAR-18,1,"N",39,5,25,"M",2,2,"U","","",25,0
2018,29658541,100207123,1,19-MAR-18,1,"N",23,5,20,"M",1,1,"R","","",20,0
2018,29686274,100232544,1,20-FEB-18,2,"N",35,5,18,"M",1,2,"R","","",18,0
2018,29658553,100202459,1,19-APR-18,2,"N",23,5,18,"M",1,1,"N","","",18,0
2018,29662615,100207594,1,03-FEB-18,2,"N",35,5,26,"M",1,2,"R","","",26,0
2018,29662476,100202529,1,30-MAR-18,1,"N",27,5,40,"M",1,2,"R","","",40,0
2018,29662498,100202583,2,03-APR-18,2,"N",35,5,21,"F",1,2,"N","","",21,0
2018,29662495,100202583,1,03-APR-18,3,"N",48,5,40,"M",4,2,"R","","",40,0
2018,29662512,100202608,1,08-APR-18,1,"N",16,5,18,"M",1,1,"R","","",18,0
2018,29658645,100207475,1,26-APR-18,2,"N",16,5,25,"F",1,2,"R","","",25,0
2018,29662646,100207830,2,16-FEB-18,1,"N",16,5,46,"F",2,2,"N","","",46,0
2018,29662645,100207830,1,16-FEB-18,1,"N",16,5,59,"M",1,2,"N","","",59,0
2018,29662679,100212694,1,27-FEB-18,2,"N",16,5,25,"M",1,2,"N","","",25,0
2018,29662729,100207961,2,22-MAR-18,1,"N",51,5,34,"M",2,2,"R","","",34,0
2018,29658793,100212872,1,15-MAR-18,1,"N",16,5,41,"M",1,2,"N","","",41,0
2018,29662768,100208005,1,02-MAR-18,1,"N",49,5,24,"F",1,2,"R","","",24,0
2018,29662773,100212872,2,15-MAR-18,2,"N",16,5,35,"M",1,2,"N","","",35,0
2018,29686377,100234742,1,25-APR-18,2,"N",16,5,15,"M",1,2,"R","R","",15,0
2018,29682129,100234775,1,17-APR-18,3,"N",27,5,18,"M",2,2,"R","","",18,0
2018,29682133,100234783,1,17-APR-18,2,"N",16,5,17,"M",1,2,"R","R","",17,0
2018,29682136,100234783,2,17-APR-18,2,"N",16,5,17,"F",1,2,"R","R","",17,0
2018,29686405,100237828,2,03-JUL-18,2,"N",16,5,16,"M",1,2,"N","R","",16,0
2018,29682165,100237828,1,03-JUL-18,2,"N",16,5,16,"F",1,2,"N","R","",16,0
2018,29686421,100237868,1,06-JUL-18,1,"N",45,5,18,"M",1,2,"R","","",18,0
2018,29682226,100237927,1,24-JUL-18,2,"N",51,5,15,"M",3,2,"R","R","",15,0
2018,29682250,100237949,1,24-JUL-18,2,"N",51,5,28,"F",1,1,"R","","",28,0
2018,29686534,100235099,1,23-JUL-18,1,"N",27,5,31,"F",1,2,"R","","",31,0
2018,29682398,100238290,1,27-JUN-18,3,"N",35,5,43,"M",1,2,"R","","",43,0
2018,29686660,100235445,2,20-MAY-18,2,"N",16,5,17,"M",1,2,"","R","",17,0
2018,29682473,100235458,1,02-JUL-18,3,"N",27,5,26,"M",2,2,"R","","",26,0
2018,29686757,100238696,1,11-MAY-18,3,"N",28,5,41,"M",0,2,"N","","",41,0
2018,29682504,100238515,1,05-JUN-18,3,"N",51,5,40,"M",1,2,"R","","",40,0
2018,29686708,100238521,2,05-JUN-18,2,"N",52,5,22,"F",1,2,"R","","",22,0
2018,29686710,100238521,1,05-JUN-18,2,"N",16,5,22,"M",1,2,"R","","",22,0
2018,29682533,100238564,1,10-JUN-18,3,"N",51,5,31,"M",1,1,"R","","",31,0
2018,29686726,100235574,1,20-JUN-18,2,"N",47,5,35,"F",1,2,"R","","",35,0
2018,29682592,100238745,1,25-MAY-18,2,"N",23,5,38,"F",1,2,"R","","",38,0
2018,29682614,100238771,1,13-MAY-18,2,"N",23,5,42,"M",1,2,"N","","",42,0
2018,29686826,100238852,1,27-JUL-18,3,"N",3,5,28,"M",1,2,"N","","",28,0
2018,29663386,100213592,1,21-FEB-18,2,"N",2,5,34,"M",1,2,"R","","",34,0
2018,29659257,100208524,1,13-FEB-18,3,"N",51,5,40,"M",1,2,"R","","",40,0
2018,29686841,100238877,1,14-JUL-18,3,"N",51,5,30,"M",1,3,"N","","",30,0
