"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,106345449,3,100,,114043112
2018,106340277,26,30,,114037969
2018,106340277,62,65,,114043116
2018,106340277,25,10,,114043114
2018,106340280,10,,,114047835
2018,106345475,3,14000,,114043136
2018,106345474,3,14000,13-SEP-18,114043135
2018,106350261,3,3000,,114047880
2018,106350260,3,3000,07-AUG-18,114047879
2018,106345507,11,3,,114043170
2018,106345517,38,200,,114043189
2018,106340354,6,12,08-JUL-18,114038073
2018,106350303,6,12,,114047928
2018,106350308,11,10,,114047934
2018,106340382,43,86,,114047953
2018,106350321,43,86,08-AUG-18,114047952
2018,106340410,10,,,114047990
2018,106340410,11,4,,114038147
2018,106345619,37,50,,114043317
2018,106350371,54,250,,114038177
2018,106345671,57,2500,,114043383
2018,106345670,57,2500,,114043381
2018,106340480,10,,,114043414
2018,105127047,36,340,,112499039
2018,105130568,10,,,112502878
2018,105127259,16,43,,112499308
2018,105130703,3,283,,112503061
2018,105130726,61,995,,112499321
2018,105127271,61,995,21-FEB-18,112503086
2018,105127289,29,50,,112499341
2018,105127393,38,650,,112503244
2018,105127460,50,20,,112499587
2018,105130916,38,250,,112499598
2018,105127430,25,77,,112499545
2018,105127430,22,0,,112503280
2018,105127430,51,0,,112499546
2018,105130939,33,25,,112503355
2018,105131416,3,2500,,112503970
2018,105127672,57,285,,112499880
2018,105131415,3,2500,24-JAN-18,112503969
2018,105131439,63,82,,112503989
2018,105131437,63,82,14-JAN-18,112503987
2018,105162090,3,500,,112542045
2018,105158577,10,,,112538374
2018,105158577,11,5,,112538375
2018,105163628,11,10,,112542108
2018,105163628,10,,,112542107
2018,105163684,3,50,,112542187
2018,105162193,54,300,,112542192
2018,105162213,10,,,112538536
2018,105162235,38,150,,112542263
2018,105162235,30,50,,112542261
2018,105163769,3,2000,,112538618
2018,105163784,63,215,,112542323
2018,105162279,10,,,112542328
2018,105163833,38,600,,112542384
2018,105163833,63,20,,112542386
2018,105163848,9,0,,112542404
2018,105162342,11,10,,112542418
2018,105162342,10,,,112542419
2018,105163871,3,200,,112538770
2018,105163877,47,0,,112538776
2018,105163877,6,10,,112542441
2018,105162354,37,229,,112538779
2018,105163877,26,500,,112542443
2018,105163877,7,12,,112542445
2018,105163892,11,1,,112542465
2018,105163892,10,,,112538792
2018,105163892,63,1,,112538794
2018,105162383,3,100,,112542488
2018,105162389,51,0,,112542494
2018,105162389,20,20,,112542493
2018,105162389,9,0,,112542496
2018,105162389,22,0,,112542497
2018,105162389,25,30,,112542498
2018,105140309,10,,,112510071
2018,105140309,11,1,,112510072
2018,105137185,63,1,,112513701
2018,105162389,10,30,,112538821
2018,105162533,25,90,,112542696
2018,105162571,3,1000,20-JUL-18,112542742
2018,105169937,36,55,,112550929
2018,105137279,26,60,,112510317
2018,105140506,63,1962,,112510472
2018,105140506,9,0,,112513905
2018,105140511,22,0,,112510477
2018,105140513,20,12000,,112513912
2018,105140524,11,12,,112513926
2018,105140543,11,3,,112510537
2018,105164257,66,20,,112539308
2018,105164257,7,40,,112539304
2018,105140543,10,,,112513958
2018,105140557,10,,,112510561
2018,105137467,10,,,112510602
2018,105162573,3,1000,,112539041
2018,105137520,10,,,112510666
2018,105140627,33,250,,112510670
2018,105137532,63,25,,112510692
2018,105137550,8,1,12-APR-18,112510713
2018,105137551,8,1,,112510714
2018,105137567,10,,,112510739
2018,105140762,20,25,,112514253
2018,105137631,11,35,,112510810
2018,105137631,10,,,112510806
2018,105137655,20,30,,112510844
2018,105140762,16,100,,112514252
2018,105137679,8,60,,112510871
2018,105140789,3,100,,112514281
2018,105140807,9,0,,112515915
2018,105137733,19,46,,112515934
2018,105137736,19,46,15-MAR-18,112515937
2018,105140840,11,1,,112515978
2018,105163985,10,,,112542615
2018,105162533,20,50,,112539005
2018,105162533,10,30,,112542694
2018,105164090,39,50,,112539077
2018,105162644,3,350,,112539133
2018,105162667,63,150,,112539165
2018,105140911,38,500,,112516077
2018,105137861,10,,,112516102
2018,105140933,20,500,,112516110
2018,105137869,10,,,112514469
2018,105137874,2,10,,112514475
2018,105141107,63,0,,112514683
2018,105164166,20,79,,112539188
2018,105138153,10,,,112516491
2018,105141134,19,75,21-MAR-18,112516436
2018,105138112,19,75,,112516437
2018,105138167,34,25,,112516516
2018,105141216,61,800,,112514812
2018,105141181,63,200,,112516509
2018,105138230,3,2000,,112516600
2018,105141265,21,27,,112514879
2018,105138273,19,6,,112516637
2018,105138302,63,165,,112516686
2018,105138302,10,,,112516685
2018,105138302,25,15,,112516691
2018,105138302,11,185,,112514920
2018,105138302,20,1880,,112514921
2018,105138327,3,2500,,112516728
2018,105138338,9,0,,112516742
2018,105141329,29,200,,112516770
2018,105164186,11,1,,112539211
2018,105164186,10,,,112539210
2018,105164203,8,12,,112539234
2018,105138382,30,250,,112516810
2018,105141363,29,50,,112516839
2018,105138416,20,69,,112516849
2018,105141373,10,,,112516860
2018,105141373,11,1,,112515012
2018,105138440,20,60,,112516882
2018,105141394,20,5408,,112515034
2018,105164203,2,62,,112539232
2018,105164257,26,200,,112539306
2018,105164257,63,30,,112539307
2018,105162767,16,300,17-JAN-18,112543006
2018,105164257,16,335,,112539305
2018,105164356,51,0,,112539421
2018,105164495,11,1,,112539607
2018,105163052,10,,,112539625
2018,105164365,21,71,,112539434
2018,105163001,10,,,112539571
2018,105163001,11,1,,112539569
2018,105164555,17,300,,112539684
2018,105164561,3,12000,,112539688
2018,105163095,3,12000,29-MAR-18,112543491
2018,105164562,11,1,,112543497
2018,105163128,63,2000,,112543543
2018,105164597,31,75,,112539738
2018,105164620,31,50,,112543612
2018,105164665,7,820,,112539850
2018,105164749,20,20,,112539956
2018,105163364,8,1,05-JUL-18,112543853
2018,105163365,8,2,,112543856
2018,105163388,38,20,,112539997
2018,105163452,22,0,,112543966
2018,105163451,30,100,,112543963
2018,105164892,61,450,21-JUL-18,112540142
2018,105164894,61,450,,112540144
2018,105163520,36,600,,112544055
2018,105163560,10,,,112544116
2018,105163579,20,1100,,112544135
2018,105165022,63,1,,112540315
2018,105165051,63,1249,,112544314
